Position holder,Name of the issuer,ISIN,Net short position (%),"Date position was created, changed or ceased to be held (yyyy-mm-dd)"
"Arrowstreet Capital, Limited Partnership ","MONETA Money Bank, a.s.",CZ0008040318,0.48,2022-06-08
"Arrowstreet Capital, Limited Partnership ","MONETA Money Bank, a.s.",CZ0008040318,0.5,2022-04-29
Millennium International Management LP ,O2 Czech Republic a.s.,CZ0009093209,0.0,2018-11-30
Millennium International Management LP ,O2 Czech Republic a.s.,CZ0009093209,0.54,2018-11-28
Marshall Wace LLP ,"MONETA Money Bank, a.s.",CZ0008040318,0.42,2018-08-10
Marshall Wace LLP ,"MONETA Money Bank, a.s.",CZ0008040318,0.52,2018-08-09
Marshall Wace LLP ,"MONETA Money Bank, a.s.",CZ0008040318,1.01,2018-05-09
Marshall Wace LLP ,"MONETA Money Bank, a.s.",CZ0008040318,0.9,2018-04-05
Marshall Wace LLP ,"MONETA Money Bank, a.s.",CZ0008040318,0.81,2018-03-21
Marshall Wace LLP ,"MONETA Money Bank, a.s.",CZ0008040318,0.7,2018-03-06
Marshall Wace LLP ,"MONETA Money Bank, a.s.",CZ0008040318,0.62,2018-02-09
Marshall Wace LLP ,"MONETA Money Bank, a.s.",CZ0008040318,0.52,2018-02-02
Charlemagne Capital (IOM) Limited ,"MONETA Money Bank, a.s.",CZ0008040318,0.3,2017-11-15
Charlemagne Capital (IOM) Limited ,"MONETA Money Bank, a.s.",CZ0008040318,0.51,2017-11-13
Gladstone Capital Management LLP ,"MONETA Money Bank, a.s.",CZ0008040318,0.46,2017-09-22
Gladstone Capital Management LLP ,"MONETA Money Bank, a.s.",CZ0008040318,0.5,2017-09-20
Charlemagne Capital (IOM) Limited ,"MONETA Money Bank, a.s.",CZ0008040318,0.61,2017-08-14
Charlemagne Capital (IOM) Limited ,"MONETA Money Bank, a.s.",CZ0008040318,0.5,2017-08-10
Charlemagne Capital (IOM) Limited ,"MONETA Money Bank, a.s.",CZ0008040318,0.45,2017-06-14
Charlemagne Capital (IOM) Limited ,"MONETA Money Bank, a.s.",CZ0008040318,0.66,2017-06-06
"BlackRock Institutional Trust Company, National Association ","MONETA Money Bank, a.s.",CZ0008040318,0.49,2017-06-06
Charlemagne Capital (IOM) Limited ,"MONETA Money Bank, a.s.",CZ0008040318,0.75,2017-06-05
"BlackRock Institutional Trust Company, National Association ","MONETA Money Bank, a.s.",CZ0008040318,0.59,2017-05-24
Charlemagne Capital (IOM) Limited ,"MONETA Money Bank, a.s.",CZ0008040318,0.87,2017-05-15
"BlackRock Institutional Trust Company, National Association ","MONETA Money Bank, a.s.",CZ0008040318,0.6,2017-05-10
Charlemagne Capital (IOM) Limited ,"MONETA Money Bank, a.s.",CZ0008040318,0.68,2017-05-03
Charlemagne Capital (IOM) Limited ,"MONETA Money Bank, a.s.",CZ0008040318,0.51,2017-04-28
"BlackRock Institutional Trust Company, National Association ","MONETA Money Bank, a.s.",CZ0008040318,0.58,2017-04-25
"BlackRock Institutional Trust Company, National Association ","MONETA Money Bank, a.s.",CZ0008040318,0.61,2017-04-21
"BlackRock Institutional Trust Company, National Association ","MONETA Money Bank, a.s.",CZ0008040318,0.57,2017-04-19
